,date,open,close,high,low,volume
0,1558742400000,6.4066,6.3603,6.5407,6.2511,4550757.26
1,1558828800000,6.3579,6.8511,6.9727,6.2001,6722716.09
2,1558915200000,6.8538,7.9944,8.22,6.7941,16433129.5
3,1559001600000,7.9985,8.075,8.2196,7.6148,12393464.9
4,1559088000000,8.0753,7.9658,8.2535,7.51,8601476.01
5,1559174400000,7.9672,7.3,8.4942,6.8678,19447140.11
6,1559260800000,7.3,8.5645,8.6903,7.1814,17867584.79
7,1559347200000,8.5618,7.7027,8.6389,7.437,18849766.98
8,1559433600000,7.7087,7.7188,7.982,7.4588,11897278.17
9,1559520000000,7.7229,6.6926,7.731,6.5884,15539352.35
10,1559606400000,6.6911,6.2943,6.8907,6.02,18008532.69
11,1559692800000,6.2961,6.419,6.525,6.1353,10145734.87
12,1559779200000,6.4182,6.3602,6.4602,5.9251,8420899.77
13,1559865600000,6.3581,6.6195,6.78,6.2902,7060072.68
14,1559952000000,6.6196,6.3408,6.7,6.1849,4999853.42
15,1560038400000,6.3408,6.139,6.4803,5.9505,6342921.01
16,1560124800000,6.1389,6.4258,6.49,6.0351,6632432.91
17,1560211200000,6.4253,6.3132,6.4799,6.1282,5150171.36
18,1560297600000,6.3133,6.4217,6.46,6.2,5561414.58
19,1560384000000,6.4193,6.4591,6.6296,6.31,6501066.84
20,1560470400000,6.4572,6.5401,6.55,6.3373,4874547.29
21,1560556800000,6.54,6.8838,6.9456,6.5171,5735284.85
22,1560643200000,6.8837,6.9703,7.188,6.7811,7683784.05
23,1560729600000,6.9703,7.1247,7.23,6.9442,6057508.13
24,1560816000000,7.1281,6.7857,7.1499,6.6366,5747975.05
25,1560902400000,6.7824,6.8543,6.9653,6.7473,3062443.95
26,1560988800000,6.8574,6.8277,6.8944,6.6644,3830065.3
27,1561075200000,6.8291,7.0377,7.122,6.77,6706235.5
28,1561161600000,7.0339,7.5049,7.5953,6.951,12185410.18
29,1561248000000,7.5069,7.2712,7.6497,7.1701,6323886.37
30,1561334400000,7.2705,7.2559,7.2734,7.0368,4507862.77
31,1561420800000,7.2541,7.1726,7.3083,6.9618,5149908.78
32,1561507200000,7.1736,6.8096,7.4475,6.1,16934720.29
33,1561593600000,6.8082,5.9663,6.8557,5.6329,20215677.51
34,1561680000000,5.9742,6.2182,6.2918,5.7625,12172080.98
35,1561766400000,6.2206,6.3302,6.3915,5.9566,7403462.75
36,1561852800000,6.3282,5.7926,6.3966,5.6894,8043978.96
37,1561939200000,5.7949,6.0488,6.0764,5.5504,10552912.83
38,1562025600000,6.0515,5.8957,6.15,5.5813,10062396.68
39,1562112000000,5.8975,6.0405,6.0972,5.8,7260751.63
40,1562198400000,6.0422,5.7166,6.0581,5.655,5600735.95
41,1562284800000,5.7164,5.7431,5.89,5.6766,4258687.64
42,1562371200000,5.7417,5.7692,5.9713,5.699,4080213.29
43,1562457600000,5.7691,5.9278,6.0231,5.745,2781359.82
44,1562544000000,5.9278,5.9385,5.985,5.8173,3686162.35
45,1562630400000,5.9392,5.8859,6.0254,5.8272,4985903.78
46,1562716800000,5.8862,5.2682,5.9184,5.0317,13969485.37
47,1562803200000,5.2676,4.6868,5.2698,4.3835,17980551.11
48,1562889600000,4.6862,4.7867,4.8701,4.5883,8803293.65
49,1562976000000,4.7887,4.7492,4.83,4.5585,6192644.18
50,1563062400000,4.75,4.1,4.7712,4.0469,9790162.57
51,1563148800000,4.1003,4.2931,4.4304,3.9643,10938591.71
