,date,open,close,high,low,volume
0,2019-05-25,248.84,250.22,257.33,247.22,332544.38731
1,2019-05-26,250.17,264.45,269.4,245.11,450090.22324
2,2019-05-27,264.35,270.53,279.59,260.0,635463.50204
3,2019-05-28,270.7,271.03,275.95,264.45,409443.69364
4,2019-05-29,271.08,268.83,274.04,260.05,383412.45769
5,2019-05-30,268.92,254.56,288.62,240.14,1066279.49387
6,2019-05-31,254.59,267.9,268.72,245.21,602153.87244
7,2019-06-01,267.9,264.33,275.5,260.68,455676.98613
8,2019-06-02,264.33,268.88,273.2,263.2,301536.15062
9,2019-06-03,268.87,249.91,270.0,248.0,397360.65275
10,2019-06-04,250.02,241.39,251.67,234.39,633822.71246
11,2019-06-05,241.46,245.63,250.41,237.37,335953.37927
12,2019-06-06,245.62,248.76,250.66,235.01,297579.14734
13,2019-06-07,248.77,248.77,253.28,243.46,353378.6568
14,2019-06-08,248.78,243.25,250.53,240.37,188448.27748
15,2019-06-09,243.33,230.98,244.53,226.56,316931.85638
16,2019-06-10,231.02,246.51,247.45,227.03,314662.52637
17,2019-06-11,246.61,244.29,247.8,236.49,237508.42798
18,2019-06-12,244.36,261.15,261.87,242.2,336499.3016
19,2019-06-13,261.13,254.67,262.98,253.69,291757.21635
20,2019-06-14,254.67,262.47,264.26,251.75,327383.28236
21,2019-06-15,262.48,267.82,272.27,260.61,286594.98029
22,2019-06-16,267.78,267.73,277.06,263.31,458176.54236
23,2019-06-17,267.73,273.16,276.0,266.81,339277.66707
24,2019-06-18,273.14,264.66,273.58,261.45,319941.55156
25,2019-06-19,264.68,268.14,270.0,263.59,208375.68381
26,2019-06-20,268.16,271.22,273.63,265.71,200717.7737
27,2019-06-21,271.27,294.35,295.94,271.22,519818.06907
28,2019-06-22,294.25,310.79,314.39,289.69,726254.67061
29,2019-06-23,310.7,308.52,321.7,305.58,418812.02747
30,2019-06-24,308.42,311.64,314.41,298.0,352791.26964
31,2019-06-25,311.65,318.26,318.99,307.0,345559.65047
32,2019-06-26,318.29,339.39,366.8,315.57,1008551.28721
33,2019-06-27,339.53,298.35,347.0,280.01,1016826.449
34,2019-06-28,298.35,311.05,313.58,295.22,529174.47722
35,2019-06-29,310.95,317.62,324.74,295.18,425555.16264
36,2019-06-30,317.64,292.7,323.5,290.12,489028.56835
37,2019-07-01,292.89,295.07,303.49,280.13,489769.27421
38,2019-07-02,295.03,291.48,297.57,272.65,493772.96579
39,2019-07-03,291.47,301.14,302.89,285.0,370521.96637
40,2019-07-04,301.11,282.73,302.74,280.53,270791.36878
41,2019-07-05,282.86,287.47,294.89,280.78,261139.28341
42,2019-07-06,287.32,288.29,296.71,285.28,196064.64705
43,2019-07-07,288.29,304.72,309.69,284.25,246111.36595
44,2019-07-08,304.72,311.97,313.74,300.78,289607.34177
45,2019-07-09,311.96,307.46,318.19,302.69,309447.34927
46,2019-07-10,307.46,289.23,314.18,281.04,457080.94063
47,2019-07-11,289.23,268.63,289.23,262.12,501592.75211
48,2019-07-12,268.67,274.62,278.99,266.21,266734.54213
49,2019-07-13,274.53,268.79,275.04,262.2,205959.26849
50,2019-07-14,268.8,225.85,269.74,222.81,540052.58421
51,2019-07-15,225.83,228.2,235.58,203.08,715991.20688
52,2019-07-16,228.2,198.88,234.5,192.25,715604.83198
53,2019-07-17,198.94,210.81,219.86,191.84,694854.10132
54,2019-07-18,210.8,225.73,229.65,205.71,609081.49094
55,2019-07-19,225.75,220.73,226.23,212.52,371622.21865
56,2019-07-20,220.84,228.2,235.09,219.78,325393.97225
57,2019-07-21,228.25,225.38,229.66,216.99,270046.1519
58,2019-07-22,225.49,217.51,228.34,212.25,271310.40446
59,2019-07-23,217.59,212.48,219.55,208.36,317876.48242
60,2019-07-24,212.55,216.31,218.28,202.0,331162.6484
61,2019-07-25,216.31,219.14,225.12,215.23,280370.29627
62,2019-07-26,219.14,218.81,220.0,212.71,197781.98653
63,2019-07-27,218.81,207.3,223.3,203.0,301209.41113
64,2019-07-28,207.3,211.62,213.52,198.24,218801.16693
65,2019-07-29,211.58,210.89,215.83,206.59,226941.28
66,2019-07-30,210.84,209.58,214.36,204.4,222683.79393
67,2019-07-31,209.57,218.42,218.79,209.2,207213.55658
68,2019-08-01,218.42,216.84,219.39,210.54,186806.18844
