,date,open,close,high,low,volume
0,2019-05-25,100.5,102.66,105.07,98.87,519802.9895
1,2019-05-26,102.66,111.0,114.0,97.5,658431.91144
2,2019-05-27,111.03,116.3,121.89,109.94,873684.89847
3,2019-05-28,116.41,114.81,118.22,111.08,399902.25403
4,2019-05-29,114.87,115.06,118.33,108.0,359489.09796
5,2019-05-30,115.03,107.78,120.35,102.4,708618.8245
6,2019-05-31,107.78,114.6,114.93,104.55,487341.72799
7,2019-06-01,114.65,112.35,116.28,110.51,318759.84041
8,2019-06-02,112.34,114.39,116.48,111.25,234192.23299
9,2019-06-03,114.44,105.99,116.2,105.01,441610.78458
10,2019-06-04,105.94,102.2,106.8,98.13,673951.14145
11,2019-06-05,102.2,103.66,105.21,100.11,379894.44483
12,2019-06-06,103.61,111.19,112.07,101.0,488905.21588
13,2019-06-07,111.25,116.71,121.0,109.53,619792.48983
14,2019-06-08,116.74,118.01,119.7,113.5,454621.75369
15,2019-06-09,118.01,114.66,118.94,111.02,425246.36749
16,2019-06-10,114.66,129.15,130.12,112.54,793211.22328
17,2019-06-11,129.19,135.69,138.56,124.85,836034.97354
18,2019-06-12,135.79,135.32,143.19,129.86,1015972.92864
19,2019-06-13,135.32,130.55,136.52,127.92,477007.30523
20,2019-06-14,130.55,132.0,133.03,125.22,460272.62793
21,2019-06-15,132.03,137.54,139.5,132.01,389908.37623
22,2019-06-16,137.51,136.45,138.2,133.15,392560.10493
23,2019-06-17,136.42,133.8,136.82,131.53,302485.50097
24,2019-06-18,133.8,135.22,136.84,128.0,400995.83149
25,2019-06-19,135.25,136.43,139.5,133.5,373850.88301
26,2019-06-20,136.41,135.46,136.75,133.0,236819.61409
27,2019-06-21,135.45,138.28,141.29,131.0,392390.9775
28,2019-06-22,138.3,142.26,145.9,136.01,670112.19411
29,2019-06-23,142.2,137.5,143.34,136.15,273142.66174
30,2019-06-24,137.5,135.77,137.52,132.65,269137.08964
31,2019-06-25,135.78,136.33,138.63,129.75,343042.31826
32,2019-06-26,136.32,132.25,138.5,127.5,659208.45477
33,2019-06-27,132.24,116.01,133.5,111.82,932158.03694
34,2019-06-28,116.02,120.01,122.19,114.49,455587.96464
35,2019-06-29,119.99,133.86,137.0,116.0,650966.5278
36,2019-06-30,133.88,123.25,137.44,120.54,808645.44775
37,2019-07-01,123.22,123.17,127.03,113.82,612063.25919
38,2019-07-02,123.16,118.77,124.0,112.63,469582.087
39,2019-07-03,118.74,121.36,123.15,116.78,365008.0675
40,2019-07-04,121.34,119.61,127.03,118.51,375062.74273
41,2019-07-05,119.64,118.35,120.99,116.22,223608.71264
42,2019-07-06,118.29,118.31,121.8,117.06,153816.69797
43,2019-07-07,118.28,119.48,120.35,117.0,142378.61429
44,2019-07-08,119.48,122.92,125.07,117.77,219116.92194
45,2019-07-09,122.92,119.24,124.08,117.64,233440.12041
46,2019-07-10,119.23,108.31,120.13,102.5,507821.30862
47,2019-07-11,108.29,102.98,108.33,95.21,566917.40666
48,2019-07-12,103.0,104.86,107.02,100.65,204977.52431
49,2019-07-13,104.86,101.03,105.03,97.64,229252.96129
50,2019-07-14,101.06,89.66,101.9,87.58,429594.96949
51,2019-07-15,89.67,90.43,92.99,84.6,382169.24803
52,2019-07-16,90.43,79.61,91.91,76.6,483565.93207
53,2019-07-17,79.62,89.95,94.65,71.0,611125.08258
54,2019-07-18,89.98,101.16,104.5,86.87,609872.10131
55,2019-07-19,101.15,98.23,101.26,94.73,366646.23978
56,2019-07-20,98.25,100.25,105.88,97.42,355926.02335
57,2019-07-21,100.26,99.7,101.41,96.4,247121.43139
58,2019-07-22,99.74,95.31,100.91,91.14,318533.96014
59,2019-07-23,95.31,90.15,95.35,88.62,264516.21574
60,2019-07-24,90.1,94.5,97.45,86.8,355813.0883
61,2019-07-25,94.43,93.22,96.67,91.06,228403.48379
62,2019-07-26,93.23,94.06,94.52,89.83,169220.32033
63,2019-07-27,94.01,88.79,96.09,86.67,250915.24992
64,2019-07-28,88.83,90.0,90.9,83.13,201075.77208
65,2019-07-29,90.0,90.33,92.26,87.48,233655.44074
66,2019-07-30,90.33,90.15,92.71,88.5,166817.93325
67,2019-07-31,90.12,98.76,99.95,89.81,280442.01907
68,2019-08-01,98.77,98.64,100.59,95.23,256621.80027
69,2019-08-02,98.62,94.76,98.77,92.52,284902.02673
70,2019-08-03,94.8,94.17,96.7,93.51,187442.26636
71,2019-08-04,94.15,92.64,94.8,90.11,210063.34433
72,2019-08-05,92.68,96.56,106.77,92.68,708024.73305
73,2019-08-06,96.56,92.99,99.32,91.0,370218.49667
74,2019-08-07,93.05,90.59,94.45,87.36,298275.75612
75,2019-08-08,90.59,90.15,92.75,87.72,227275.85013
76,2019-08-09,90.08,84.24,90.45,82.64,245919.9803
77,2019-08-10,84.25,85.46,87.5,82.27,243663.59097
78,2019-08-11,85.46,89.93,91.57,85.15,196951.40228
79,2019-08-12,89.99,85.79,90.04,85.45,147573.87933
80,2019-08-13,85.79,84.88,86.79,83.26,166783.80957
81,2019-08-14,84.83,75.9,86.32,75.0,310895.4105
82,2019-08-15,75.91,76.25,77.7,74.36,157703.32106
83,2019-08-16,76.24,74.67,76.42,72.34,186709.02728
84,2019-08-17,74.63,72.65,75.35,71.5,131039.84431
85,2019-08-18,72.64,76.25,78.0,71.4,171800.85253
86,2019-08-19,76.31,77.1,78.95,75.36,176507.93997
87,2019-08-20,77.1,75.14,77.3,73.31,130580.76909
88,2019-08-21,75.13,73.27,75.33,70.14,188740.48706
89,2019-08-22,73.18,73.31,74.64,71.0,159575.08558
90,2019-08-23,73.38,75.38,75.92,72.1,138535.90048
91,2019-08-24,75.37,73.32,75.65,71.39,119841.86721
92,2019-08-25,73.32,72.1,74.93,70.56,143368.07877
93,2019-08-26,72.12,73.54,75.46,72.09,186459.72505
94,2019-08-27,73.59,72.9,73.75,72.13,92746.01751
95,2019-08-28,72.88,66.73,73.14,65.0,295837.67734
96,2019-08-29,66.73,63.59,66.77,62.0,206167.47861
97,2019-08-30,63.55,64.17,65.6,62.16,188503.14428
98,2019-08-31,64.18,64.24,65.39,62.25,148167.15877
99,2019-09-01,64.23,65.89,67.21,63.74,160452.85757
100,2019-09-02,65.85,66.92,68.03,64.8,210648.66087
101,2019-09-03,66.92,69.06,71.0,66.47,286130.47957
102,2019-09-04,69.0,67.01,69.24,66.4,219846.1354
103,2019-09-05,67.02,65.23,67.39,64.14,166569.36182
104,2019-09-06,65.24,64.87,68.0,63.54,278618.16432
105,2019-09-07,64.88,68.77,70.57,64.53,305501.47722
106,2019-09-08,68.77,70.36,71.46,68.0,315059.92831
107,2019-09-09,70.36,69.89,71.38,67.73,229275.26659
108,2019-09-10,69.86,70.85,73.1,69.77,315598.33706
109,2019-09-11,70.85,69.8,71.81,68.25,208744.34146
110,2019-09-12,69.8,69.15,70.0,68.3,135570.08885
111,2019-09-13,69.18,68.93,69.58,67.36,156416.29244
112,2019-09-14,68.93,70.5,71.5,68.2,179064.87019
113,2019-09-15,70.49,70.04,71.28,69.5,123157.58776
114,2019-09-16,70.04,72.63,73.67,69.36,267731.58165
115,2019-09-17,72.67,74.04,77.59,72.15,331820.84685
116,2019-09-18,74.06,77.81,80.3,73.98,463500.72712
117,2019-09-19,77.77,76.56,80.9,72.62,516227.12489
118,2019-09-20,76.56,75.05,77.08,72.78,286151.47725
119,2019-09-21,75.06,73.22,75.58,72.06,211641.79197
120,2019-09-22,73.2,72.23,73.22,71.03,219392.15857
121,2019-09-23,72.26,66.54,74.24,61.88,527501.79121
122,2019-09-24,66.54,54.57,67.42,54.07,987995.2338
123,2019-09-25,54.57,57.43,58.34,52.84,781318.26507
124,2019-09-26,57.48,55.19,57.56,50.3,630061.90746
125,2019-09-27,55.17,55.86,56.61,52.61,390379.87374
126,2019-09-28,55.86,55.37,56.16,53.67,258783.39518
127,2019-09-29,55.38,53.82,55.58,52.13,227546.40106
128,2019-09-30,53.84,55.99,56.25,52.46,369529.68787
129,2019-10-01,56.01,55.63,57.6,54.82,333581.15687
130,2019-10-02,55.59,56.23,56.66,55.13,215424.38457
131,2019-10-03,56.28,56.44,57.07,53.62,253310.60723
132,2019-10-04,56.45,56.3,57.5,55.22,247275.45318
133,2019-10-05,56.3,56.69,57.4,55.57,177602.10058
134,2019-10-06,56.69,54.41,56.8,52.73,259829.37559
135,2019-10-07,54.42,57.46,58.65,53.25,314689.40497
136,2019-10-08,57.46,56.94,58.45,56.47,184201.79637
137,2019-10-09,56.92,59.12,60.06,56.6,344098.9067
138,2019-10-10,59.1,57.47,59.33,57.0,215031.29392
