,Date,Open,Close,High,Low,Volume
1,2020-05-23,43.84,43.85,43.88,43.82,116.60042
2,2020-05-23,43.85,43.85,43.89,43.83,281.56896
3,2020-05-23,43.87,43.89,43.89,43.82,400.15283
4,2020-05-23,43.88,43.97,43.99,43.86,664.05486
5,2020-05-23,43.97,44.02,44.04,43.94,2164.29832
6,2020-05-23,44.01,44.09,44.15,43.97,3815.49961
7,2020-05-23,44.07,44.08,44.11,44.06,372.9512
8,2020-05-23,44.06,44.07,44.1,44.03,514.50638
9,2020-05-23,44.06,43.99,44.08,43.97,1051.90078
10,2020-05-23,43.98,43.99,44.01,43.94,483.44154
11,2020-05-23,43.99,44.11,44.11,43.99,298.50117
12,2020-05-23,44.11,44.08,44.12,44.07,356.56223
13,2020-05-23,44.09,44.07,44.09,44.02,414.69936
14,2020-05-23,44.07,44.14,44.14,44.07,472.59865
15,2020-05-23,44.14,44.05,44.16,44.03,646.6321
16,2020-05-23,44.04,44.01,44.05,44.0,454.46408
17,2020-05-23,44.0,44.0,44.07,43.99,295.96211
18,2020-05-23,44.0,44.05,44.07,43.99,538.08305
19,2020-05-23,44.05,43.99,44.08,43.99,190.71635
20,2020-05-23,43.99,43.81,43.99,43.77,1351.61859
21,2020-05-23,43.8,43.89,43.93,43.8,1755.12357
22,2020-05-23,43.88,43.74,43.88,43.67,2048.18743
23,2020-05-23,43.74,43.79,43.85,43.73,743.63613
24,2020-05-23,43.79,43.89,43.9,43.76,485.84712
25,2020-05-23,43.88,43.94,43.97,43.86,556.83289
26,2020-05-23,43.94,43.92,43.99,43.92,323.48954
27,2020-05-23,43.92,43.87,43.92,43.82,961.50828
28,2020-05-23,43.87,43.87,43.89,43.78,657.94855
29,2020-05-23,43.85,43.96,43.98,43.85,499.61556
30,2020-05-23,43.95,43.91,43.98,43.9,281.89514
31,2020-05-23,43.91,43.98,44.02,43.91,759.96997
32,2020-05-23,43.97,43.93,44.0,43.9,456.29929
33,2020-05-23,43.93,43.92,43.96,43.91,904.72971
34,2020-05-23,43.92,43.93,44.02,43.92,774.7221
35,2020-05-23,43.93,43.97,43.97,43.92,310.10601
36,2020-05-23,43.96,43.95,43.96,43.89,280.50444
37,2020-05-23,43.94,43.95,43.95,43.89,988.22638
38,2020-05-23,43.95,43.94,43.95,43.89,1104.87559
39,2020-05-23,43.92,43.92,43.97,43.91,284.58221
40,2020-05-23,43.92,43.92,43.92,43.83,2945.40756
41,2020-05-23,43.92,43.97,43.98,43.91,212.03653
42,2020-05-23,43.98,44.01,44.01,43.95,340.9551
43,2020-05-23,44.01,44.01,44.03,43.97,1239.32995
44,2020-05-23,44.03,44.1,44.11,44.01,534.65082
45,2020-05-23,44.1,44.26,44.32,44.09,3455.12959
46,2020-05-23,44.26,44.26,44.29,44.25,1056.21898
47,2020-05-23,44.25,44.25,44.33,44.23,1201.56958
48,2020-05-23,44.25,44.25,44.28,44.19,831.53841
49,2020-05-23,44.27,44.19,44.27,44.18,481.00732
50,2020-05-23,44.19,44.24,44.24,44.19,158.15866
51,2020-05-23,44.24,44.2,44.25,44.19,187.08482
52,2020-05-23,44.2,44.17,44.24,44.17,797.28621
