,date,open,close,high,low,volume
0,2019-05-25,85.32,86.8,87.31,85.02,5615.95591
1,2019-05-26,86.67,91.3,92.39,85.0,12335.57747
2,2019-05-27,91.22,97.43,98.84,91.22,13539.46342
3,2019-05-28,97.31,95.93,98.47,95.28,7523.91455
4,2019-05-29,95.63,93.81,95.91,90.0,9949.82174
5,2019-05-30,93.77,91.61,98.99,88.28,15633.5112
6,2019-05-31,91.69,93.25,93.66,89.07,8083.30206
7,2019-06-01,93.25,92.96,93.93,91.07,11483.95396
8,2019-06-02,92.82,94.77,96.14,92.56,4403.96219
9,2019-06-03,94.77,88.85,96.0,88.83,8904.17858
10,2019-06-04,88.81,83.65,89.0,81.17,11825.09013
11,2019-06-05,83.65,84.65,87.0,82.87,8431.71469
12,2019-06-06,84.63,86.69,87.14,82.78,9642.1719
13,2019-06-07,86.73,88.0,89.52,85.09,10052.83018
14,2019-06-08,87.64,87.32,88.52,85.89,4056.75701
15,2019-06-09,87.29,83.38,87.89,82.07,9455.74156
16,2019-06-10,83.04,86.72,87.36,82.29,6575.96616
17,2019-06-11,86.72,86.13,87.5,85.28,6339.17915
18,2019-06-12,86.19,90.1,90.14,85.38,10887.79337
19,2019-06-13,90.1,89.26,91.98,89.01,10717.84928
20,2019-06-14,89.35,90.29,90.7,87.0,10244.47299
21,2019-06-15,90.52,94.72,95.23,89.78,14677.60094
22,2019-06-16,94.85,95.99,97.82,93.8,10278.45841
23,2019-06-17,95.99,98.71,99.68,95.99,13294.6198
24,2019-06-18,98.3,96.49,98.98,95.03,9353.88194
25,2019-06-19,96.49,100.19,102.31,95.81,17807.59049
26,2019-06-20,100.37,105.07,109.01,99.73,30271.81513
27,2019-06-21,105.24,109.54,110.09,105.24,20466.16925
28,2019-06-22,109.5,115.48,119.07,107.57,26341.54906
29,2019-06-23,115.65,116.01,121.55,114.21,14517.91873
30,2019-06-24,115.68,117.86,119.98,112.64,12161.42684
31,2019-06-25,117.87,112.3,118.39,111.43,20565.13464
32,2019-06-26,112.33,105.0,114.43,99.51,79140.38783
33,2019-06-27,105.0,96.38,106.91,89.31,45856.10467
34,2019-06-28,96.39,102.06,103.0,94.28,23897.83876
35,2019-06-29,102.0,99.93,102.09,93.2,14519.59403
36,2019-06-30,100.27,88.71,100.96,87.8,19417.20628
37,2019-07-01,88.74,88.96,94.8,84.14,25094.33496
38,2019-07-02,88.96,86.73,89.6,82.43,21375.88579
39,2019-07-03,86.78,89.84,92.4,85.59,22812.01135
40,2019-07-04,89.93,87.65,92.9,87.14,14815.03405
41,2019-07-05,87.63,89.45,92.65,86.18,10878.13902
42,2019-07-06,89.4,94.65,98.98,89.39,25713.19329
43,2019-07-07,94.58,106.99,107.07,93.0,19828.441
44,2019-07-08,106.78,101.15,107.4,99.93,21365.03046
45,2019-07-09,101.16,99.35,104.67,97.42,11394.17689
46,2019-07-10,99.35,95.0,101.82,92.47,15019.71232
47,2019-07-11,95.0,89.75,95.37,87.3,14751.40184
48,2019-07-12,89.76,98.08,98.41,86.13,10804.74301
49,2019-07-13,98.08,93.49,98.08,89.03,11241.95235
50,2019-07-14,93.39,86.23,94.74,85.01,21528.0018
51,2019-07-15,85.94,88.84,90.52,76.01,29400.01419
52,2019-07-16,88.84,74.22,89.37,73.5,21284.51313
53,2019-07-17,74.25,76.59,80.6,71.8,22498.2688
54,2019-07-18,76.8,84.06,85.7,74.82,18391.31879
55,2019-07-19,83.83,82.05,84.66,80.18,17515.48937
56,2019-07-20,82.05,85.35,87.73,81.37,14521.37357
57,2019-07-21,84.89,84.1,88.14,83.12,7252.22705
58,2019-07-22,84.23,83.48,85.57,81.06,8944.73245
59,2019-07-23,83.43,81.09,84.03,80.16,6902.22492
60,2019-07-24,81.01,80.44,82.18,78.39,6680.75108
61,2019-07-25,80.32,81.04,83.67,80.25,5326.45088
62,2019-07-26,80.95,80.2,81.37,78.48,7363.37644
63,2019-07-27,80.1,78.89,83.19,77.43,7304.96189
64,2019-07-28,78.85,80.18,83.66,77.18,5220.13327
65,2019-07-29,80.31,78.28,81.69,77.73,4605.32411
66,2019-07-30,78.0,78.24,80.83,77.47,5545.15821
67,2019-07-31,78.09,80.46,82.67,77.84,6797.22768
68,2019-08-01,80.64,82.15,82.71,79.65,4331.686
69,2019-08-02,82.18,83.93,85.21,81.49,5608.9858
70,2019-08-03,84.1,88.03,88.14,83.95,6127.24771
71,2019-08-04,87.9,87.76,88.9,85.39,8305.22644
72,2019-08-05,87.66,93.55,95.0,87.63,12038.27369
73,2019-08-06,93.51,89.9,96.7,88.0,9765.31877
74,2019-08-07,89.64,97.43,98.1,88.99,11463.55455
75,2019-08-08,97.43,95.55,97.92,91.44,10203.96016
76,2019-08-09,95.55,93.4,96.0,91.01,7928.63379
77,2019-08-10,93.62,90.78,95.0,90.07,4971.03447
78,2019-08-11,90.74,92.3,93.12,88.7,6248.07281
79,2019-08-12,92.3,91.21,92.49,89.5,2740.82502
80,2019-08-13,91.14,85.78,92.0,84.75,11248.43171
81,2019-08-14,85.57,78.9,85.78,78.1,7671.97468
82,2019-08-15,79.04,82.44,82.88,78.11,4279.06584
83,2019-08-16,82.44,82.25,83.5,78.0,7031.6918
84,2019-08-17,81.69,81.52,83.84,80.82,3782.16973
85,2019-08-18,81.9,87.75,87.92,81.54,4544.88268
86,2019-08-19,87.75,89.32,91.28,84.18,7044.43488
87,2019-08-20,89.5,85.61,91.02,84.28,7415.67288
88,2019-08-21,85.84,80.84,86.51,78.81,7850.57487
89,2019-08-22,81.0,82.02,83.36,78.22,4453.8844
90,2019-08-23,82.02,82.08,83.5,80.91,4933.07119
91,2019-08-24,82.08,80.52,82.2,78.06,4830.64267
92,2019-08-25,80.46,80.6,82.33,79.0,4828.89092
93,2019-08-26,80.75,79.75,83.91,79.04,5254.40179
94,2019-08-27,79.7,78.5,80.08,77.56,4241.47133
95,2019-08-28,78.5,72.1,79.77,71.41,9797.75944
96,2019-08-29,72.1,66.9,72.1,66.71,7727.18429
97,2019-08-30,66.9,67.82,68.32,65.7,6732.76183
98,2019-08-31,67.85,67.34,68.34,66.07,3275.36729
99,2019-09-01,67.31,71.34,74.61,66.63,6897.75312
100,2019-09-02,71.32,73.05,74.06,69.67,11150.06436
101,2019-09-03,73.25,74.78,75.75,72.87,10246.19674
102,2019-09-04,74.78,73.79,75.01,71.41,8002.09041
103,2019-09-05,73.98,75.97,78.0,73.52,11876.04647
104,2019-09-06,76.07,75.22,79.71,74.83,9994.84598
105,2019-09-07,75.02,78.0,78.59,73.78,4684.55932
106,2019-09-08,77.97,77.15,78.98,75.55,4943.06239
107,2019-09-09,77.03,74.94,77.55,70.2,7966.79299
108,2019-09-10,74.98,72.27,76.0,71.5,11768.49972
109,2019-09-11,72.05,74.18,74.19,69.43,11528.42894
110,2019-09-12,74.18,74.88,75.42,71.52,8008.42901
111,2019-09-13,74.89,76.79,76.79,72.68,5678.04398
112,2019-09-14,76.79,76.1,76.82,73.58,6202.47124
113,2019-09-15,76.08,75.45,76.5,73.99,5712.93481
114,2019-09-16,75.45,75.37,76.47,71.23,15821.29553
115,2019-09-17,75.37,73.73,75.47,73.05,15428.06594
116,2019-09-18,73.86,80.99,82.18,73.63,33312.43735
117,2019-09-19,80.89,75.77,81.58,72.5,29841.27483
118,2019-09-20,75.66,73.78,77.98,72.53,16026.20962
119,2019-09-21,73.78,72.33,73.91,71.95,12318.68095
120,2019-09-22,72.34,73.0,74.2,70.8,19604.14881
121,2019-09-23,73.0,68.49,73.18,68.11,13191.44974
122,2019-09-24,68.37,58.63,70.18,55.28,27972.03968
123,2019-09-25,58.7,59.59,61.35,57.3,25481.22867
124,2019-09-26,59.86,57.3,77.9,54.23,66266.17284
125,2019-09-27,57.17,57.48,70.0,54.06,181284.59618
126,2019-09-28,57.56,57.6,58.28,56.08,15462.06724
127,2019-09-29,57.66,55.82,57.81,54.49,14057.42727
128,2019-09-30,55.89,56.83,57.54,53.36,23050.43683
129,2019-10-01,56.81,55.5,58.28,50.0,22828.08566
130,2019-10-02,55.52,55.88,56.8,54.3,19011.50167
131,2019-10-03,55.93,56.13,57.23,54.07,26089.73413
132,2019-10-04,56.16,57.11,57.77,53.84,42074.23987
133,2019-10-05,57.11,56.41,57.62,55.17,34751.91933
134,2019-10-06,56.4,54.71,56.58,54.2,22196.37827
135,2019-10-07,54.68,56.11,57.08,54.19,34525.09543
136,2019-10-08,56.12,55.46,56.95,55.0,24302.37882
137,2019-10-09,55.37,57.0,57.45,54.88,34997.88113
138,2019-10-10,57.0,55.69,57.45,55.0,35639.72283
139,2019-10-11,55.69,53.93,56.63,53.82,29618.79508
140,2019-10-12,53.86,53.58,54.82,53.35,22033.77463
141,2019-10-13,53.55,53.25,54.05,52.32,23259.59336
142,2019-10-14,53.26,53.06,53.66,52.36,17580.43293
143,2019-10-15,53.06,52.1,53.9,51.65,31782.19135
144,2019-10-16,52.05,54.79,55.3,51.64,72445.62978
145,2019-10-17,54.8,55.92,60.61,54.51,127581.79113
146,2019-10-18,55.93,55.23,58.37,55.1,57033.68523
147,2019-10-19,55.22,54.42,55.3,53.33,43917.80151
148,2019-10-20,54.35,56.4,57.27,53.67,28168.48761
149,2019-10-21,56.34,57.51,59.37,55.57,36324.3814
150,2019-10-22,57.43,56.67,58.65,55.83,33645.81046
151,2019-10-23,56.6,53.27,57.28,52.0,48014.6345
152,2019-10-24,53.28,53.32,54.49,50.86,33496.47281
