Date,Open,Close,High,Low,Volume
2018-01-01,13715.65,13380,13818.55,12750,8609.915844
2018-01-02,13382.16,14675.11,15473.49,12890.02,20078.092111
2018-01-03,14690,14919.51,15307.56,14150,15905.667639
2018-01-04,14919.51,15059.54,15280,13918.04,21329.649574
2018-01-05,15059.56,16960.39,17176.24,14600,23251.491125
2018-01-06,16960.39,17069.79,17143.13,16011.21,18571.457508
2018-01-07,17069.79,16150.03,17099.96,15610,12493.125558
2018-01-08,16218.85,14902.54,16322.3,12812,26600.609912
2018-01-09,14902.54,14400,15500,14011.05,14315.004253
2018-01-10,14401,14907.09,14955.66,13131.31,17411.001655
2018-01-11,14940,13238.78,14968.68,11400,33554.723751
2018-01-12,13238.76,13740.01,14109.78,12500,16417.162137
2018-01-13,13749.95,14210,14580,13706.15,12221.508528
2018-01-14,14210,13474.99,14339.5,12569.2,17017.894329
2018-01-15,13477.98,13539.93,14249.99,13147.79,14652.094705
2018-01-16,13500,10900,13542.93,9035,63401.169175
2018-01-17,10899.99,10988.79,11680.99,9037.94,72331.796646
2018-01-18,10972.59,10961.97,11878.82,10435.33,48464.434937
2018-01-19,10960,11474.98,11795,10360,34129.375421
2018-01-20,11474.98,12799.94,13099,11412.45,28768.857827
2018-01-21,12799.8,11530,12799.8,10965,41379.773426
2018-01-22,11530,10760.05,11926.35,9900.24,43752.606791
2018-01-23,10760.05,10799.18,11399,9905,37473.922552
2018-01-24,10799.14,11349.99,11570.48,10500,27158.587762
2018-01-25,11349.96,11175.27,11794.05,10950.21,20839.954183
2018-01-26,11184.7,11089,11643,10311.15,33056.87196
2018-01-27,11089,11491,11650,10842.69,18860.768345
2018-01-28,11499.98,11879.95,12244,11408,16887.339524
2018-01-29,11879.95,11251,11975.02,11139.55,14170.377538
2018-01-30,11250.11,10237.51,11308.42,9900,25554.372946
2018-01-31,10230,10285.1,10425.85,9700,18015.956805
2018-02-01,10285.1,9224.52,10335,8750.99,33564.764311
2018-02-02,9224.52,8873.03,9250,8010.02,49971.626975
2018-02-03,8873.03,9199.96,9473.01,8229,28725.000735
2018-02-04,9199.96,8184.81,9368,7930,32014.308449
2018-02-05,8179.99,6939.99,8382.8,6625,63403.182579
2018-02-06,6939.63,7652.14,7878,6000.01,100201.500307
2018-02-07,7655.02,7599,8476,7150.01,60778.460497
2018-02-08,7599,7784.02,7844,7572.09,1521.537318
2018-02-09,7789.9,8683.92,8738,7789.9,20482.910825
2018-02-10,8683.93,8533.98,9065.78,8120,49381.512653
2018-02-11,8533.99,8063.88,8549,7726.53,45025.187952
2018-02-12,8063.82,8903,8989,8053,41987.85049
2018-02-13,8903,8539.9,8950,8351,35454.972956
2018-02-14,8535.17,9449.99,9489.6,8533,40811.952867
2018-02-15,9449.98,10000.09,10219.5,9301.5,52427.596715
2018-02-16,10000.89,10159.98,10323.37,9666,38161.205974
2018-02-17,10156.07,11039.55,11075.07,10050,41882.108407
2018-02-18,11039.55,10383.43,11274,10080,61137.380728
2018-02-19,10375.01,11153,11250,10270.33,40831.417131
2018-02-20,11147.11,11200.99,11786.01,11100.59,48153.354288
2018-02-21,11195.07,10437.6,11304.03,10200,68113.818754
2018-02-22,10439.02,9811.04,10933.44,9679,67060.166483
2018-02-23,9815.55,10131.04,10435,9570.19,57202.70237
2018-02-24,10131.04,9694.51,10496.97,9352,40888.156299
2018-02-25,9694.51,9590,9847,9274.8,28373.517586
2018-02-26,9590,10324,10444.32,9350,34878.292756
2018-02-27,10321,10569.04,10870,10121,30705.385123
2018-02-28,10584.33,10326.76,11098,10300,30800.983782
2018-03-01,10325.64,10920,11060.41,10240,25092.55393
2018-03-02,10923.36,11039,11200,10770,23910.71009
2018-03-03,11038.99,11464.48,11544,11015.01,21287.15328
2018-03-04,11464.47,11515,11565,11050.02,17295.918653
2018-03-05,11515,11454,11710,11415.01,15144.231063
2018-03-06,11455,10716.48,11455,10555.48,29515.572363
2018-03-07,10716.48,9910,10899,9389.31,50647.67108
2018-03-08,9910,9271.64,10099,9060,41109.473226
2018-03-09,9267.07,9227,9410,8329,64112.291407
2018-03-10,9230,8770.22,9490,8667.07,37180.012857
2018-03-11,8770.22,9533.57,9740,8450,44325.973386
